campaign_id,date,spend,impressions,clicks,conversions
1,2026-05-28,1348.15,27315,1572,114
1,2026-05-29,5584.64,113152,6512,472
1,2026-05-30,3718.54,75343,4336,314
1,2026-05-31,3741.22,75802,4363,316
1,2026-06-01,1552.24,31451,1810,131
1,2026-06-02,2346.58,47545,2736,198
1,2026-06-03,1098.14,22250,1281,93
1,2026-06-04,1060.11,21479,1236,90
1,2026-06-05,123.83,2509,144,10
1,2026-06-06,4131.75,83715,4818,349
1,2026-06-07,470.74,9538,549,40
1,2026-06-08,2361.21,47841,2753,200
1,2026-06-09,2213.24,44843,2581,187
1,2026-06-10,3185.29,64538,3714,269
1,2026-06-11,2670.36,54105,3114,226
1,2026-06-12,2074.96,42042,2420,175
1,2026-06-13,4241.12,85931,4946,359
1,2026-06-14,8385.85,169909,9779,709
1,2026-06-15,1885.0,38193,2198,159
1,2026-06-16,11058.0,224050,12895,935
1,2026-06-17,3654.07,74036,4261,309
1,2026-06-18,3684.45,74652,4296,311
1,2026-06-19,471.3,9549,550,40
1,2026-06-20,3520.65,71333,4105,298
1,2026-06-21,1277.11,25876,1489,108
1,2026-06-22,996.04,20181,1161,84
1,2026-06-23,5042.82,102175,5880,426
1,2026-06-24,1329.76,26943,1551,112
1,2026-06-25,68.34,1385,80,6
1,2026-06-26,2374.15,48104,2769,201
2,2026-05-16,188.7,6529,221,33
2,2026-05-17,128.2,4436,150,22
2,2026-05-18,2976.28,102983,3483,520
2,2026-05-19,59.48,2058,70,10
2,2026-05-20,738.32,25547,864,129
2,2026-05-21,1429.3,49455,1673,250
2,2026-05-22,2947.85,101999,3450,515
2,2026-05-23,989.07,34223,1157,173
2,2026-05-24,680.88,23559,797,119
2,2026-05-25,1273.48,44064,1490,223
2,2026-05-26,1297.31,44888,1518,227
2,2026-05-27,3415.41,118178,3997,597
2,2026-05-28,4174.1,144429,4885,729
2,2026-05-29,3234.33,111912,3785,565
2,2026-05-30,1703.22,58933,1993,298
2,2026-05-31,878.08,30383,1028,153
2,2026-06-01,1.14,40,1,0
2,2026-06-02,1958.72,67774,2292,342
2,2026-06-03,2407.61,83307,2817,421
2,2026-06-04,999.71,34591,1170,175
2,2026-06-05,279.79,9681,327,49
2,2026-06-06,2137.03,73944,2501,373
2,2026-06-07,1255.84,43454,1470,219
2,2026-06-08,588.4,20359,689,103
2,2026-06-09,362.49,12543,424,63
2,2026-06-10,1588.88,54977,1859,278
2,2026-06-11,245.08,8480,287,43
2,2026-06-12,470.56,16282,551,82
2,2026-06-13,1816.14,62841,2125,317
2,2026-06-14,956.51,33097,1119,167
3,2025-05-29,1919.91,9645,454,16
3,2025-05-30,11742.6,58992,2775,97
3,2025-05-31,928.17,4663,219,8
3,2025-06-01,4447.45,22343,1051,37
3,2025-06-02,3212.56,16139,759,27
3,2025-06-03,2466.48,12391,583,20
3,2025-06-04,1742.85,8756,412,14
3,2025-06-05,3469.62,17431,820,29
3,2025-06-06,1669.77,8389,395,14
3,2025-06-07,1194.91,6003,282,10
3,2025-06-08,7693.4,38650,1818,64
3,2025-06-09,7084.32,35590,1674,59
3,2025-06-10,6353.41,31918,1501,53
3,2025-06-11,873.6,4389,206,7
3,2025-06-12,67.58,339,16,1
3,2025-06-13,11484.79,57697,2714,95
3,2025-06-14,5748.44,28879,1358,48
3,2025-06-15,963.31,4839,228,8
3,2025-06-16,2676.98,13449,633,22
3,2025-06-17,9499.17,47722,2245,79
3,2025-06-18,10759.37,54053,2542,89
3,2025-06-19,6590.15,33108,1557,54
3,2025-06-20,12016.32,60367,2839,99
3,2025-06-21,12318.47,61885,2911,102
3,2025-06-22,7958.49,39982,1881,66
3,2025-06-23,8433.53,42368,1993,70
3,2025-06-24,14799.29,74349,3497,122
3,2025-06-25,3719.9,18688,879,31
3,2025-06-26,10120.82,50845,2391,84
3,2025-06-27,14186.41,71270,3352,117
4,2025-11-29,15489.29,81287,4832,591
4,2025-11-30,1381.58,7250,431,53
4,2025-12-01,11914.4,62526,3717,454
4,2025-12-02,1769.47,9286,552,67
4,2025-12-03,193.72,1017,60,7
4,2025-12-04,13348.43,70052,4164,509
4,2025-12-05,9042.48,47454,2821,345
4,2025-12-06,1895.32,9947,591,72
4,2025-12-07,1200.12,6298,374,46
4,2025-12-08,1443.02,7573,450,55
4,2025-12-09,10336.73,54247,3225,394
4,2025-12-10,6380.62,33485,1991,243
4,2025-12-11,11193.75,58744,3492,427
4,2025-12-12,4566.34,23964,1425,174
4,2025-12-13,4141.33,21733,1292,158
4,2025-12-14,19742.81,103609,6159,753
4,2025-12-15,2553.18,13399,796,97
4,2025-12-16,7665.72,40229,2391,292
4,2025-12-17,431.57,2265,135,16
4,2025-12-18,1037.7,5446,324,40
4,2025-12-19,9696.3,50886,3025,370
4,2025-12-20,753.4,3954,235,29
4,2025-12-21,6968.66,36571,2174,266
4,2025-12-22,1080.81,5672,337,41
4,2025-12-23,2452.5,12871,765,94
4,2025-12-24,6627.4,34780,2068,253
4,2025-12-25,19060.84,100030,5946,727
4,2025-12-26,5555.96,29157,1733,212
4,2025-12-27,6971.37,36585,2175,266
4,2025-12-28,3919.12,20567,1223,149
5,2025-01-24,5542.48,69850,3626,545
5,2025-01-25,1586.52,19994,1038,156
5,2025-01-26,3994.64,50343,2614,393
5,2025-01-27,662.86,8354,434,65
5,2025-01-28,12892.72,162483,8435,1269
5,2025-01-29,2239.21,28220,1465,220
5,2025-01-30,284.65,3587,186,28
5,2025-01-31,2439.55,30745,1596,240
5,2025-02-01,2107.36,26558,1379,207
5,2025-02-02,866.26,10917,567,85
5,2025-02-03,2741.87,34555,1794,270
5,2025-02-04,557.57,7027,365,55
5,2025-02-05,2390.67,30129,1564,235
5,2025-02-06,2912.37,36704,1905,287
5,2025-02-07,168.18,2119,110,17
5,2025-02-08,5396.63,68012,3531,531
5,2025-02-09,1741.01,21941,1139,171
5,2025-02-10,4511.78,56861,2952,444
5,2025-02-11,10495.65,132273,6867,1033
5,2025-02-12,6373.33,80321,4170,627
5,2025-02-13,4339.93,54695,2839,427
5,2025-02-14,136.27,1717,89,13
