customer_id,signup_date,city,age,gender,acquisition_channel
1,2025-02-18,Gurugram,21,Female,Google Ads
2,2026-02-26,Jaipur,23,Male,Google Ads
3,2025-12-23,Chennai,25,Female,Organic
4,2025-08-28,Chennai,32,Male,Organic
5,2025-08-24,Noida,53,Female,Google Ads
6,2026-04-13,Delhi,52,Male,Google Ads
7,2025-02-16,Gurugram,23,Male,Affiliate
8,2026-01-16,Kolkata,55,Female,Influencer
9,2025-04-20,Hyderabad,42,Female,Meta Ads
10,2025-02-21,Chennai,39,Female,Affiliate
11,2025-10-14,Bengaluru,48,Female,Meta Ads
12,2026-06-16,Bengaluru,37,Female,Organic
13,2026-02-05,Pune,29,Female,Email
14,2026-02-19,Jaipur,39,Male,Affiliate
15,2026-01-27,Bengaluru,46,Male,Organic
16,2026-03-05,Hyderabad,44,Female,Meta Ads
17,2025-10-07,Jaipur,26,Female,Google Ads
18,2025-03-11,Mumbai,53,Female,Affiliate
19,2026-04-03,Kolkata,30,Male,Google Ads
20,2025-09-03,Hyderabad,49,Male,Organic
21,2025-09-30,Kolkata,31,Male,Meta Ads
22,2025-07-22,Bengaluru,22,Female,Google Ads
23,2025-04-10,Pune,55,Male,Organic
24,2026-05-21,Mumbai,41,Female,Meta Ads
25,2026-03-02,Pune,27,Male,Affiliate
26,2025-12-17,Mumbai,20,Male,Google Ads
27,2025-08-08,Pune,24,Female,Google Ads
28,2026-03-25,Chennai,26,Male,Google Ads
29,2025-10-25,Bengaluru,53,Female,Meta Ads
30,2025-08-30,Bengaluru,26,Male,Organic
31,2025-09-03,Mumbai,25,Female,Meta Ads
32,2025-05-04,Chennai,50,Female,Google Ads
33,2025-02-20,Hyderabad,51,Female,Influencer
34,2025-10-30,Hyderabad,27,Male,Google Ads
35,2026-04-29,Delhi,43,Male,Meta Ads
36,2025-02-04,Noida,39,Female,Affiliate
37,2026-04-13,Delhi,40,Other,Organic
38,2026-03-28,Kolkata,31,Female,Meta Ads
39,2025-05-31,Kolkata,47,Female,Influencer
40,2025-12-11,Delhi,51,Female,Email
41,2025-04-01,Delhi,46,Female,Google Ads
42,2026-02-18,Chennai,52,Female,Google Ads
43,2026-01-17,Hyderabad,23,Female,Influencer
44,2025-07-13,Mumbai,43,Female,Meta Ads
45,2025-02-07,Pune,55,Female,Affiliate
46,2026-06-14,Gurugram,39,Female,Google Ads
47,2025-08-31,Noida,53,Male,Google Ads
48,2026-05-02,Mumbai,32,Male,Affiliate
49,2026-01-05,Kolkata,52,Other,Influencer
50,2026-03-01,Chennai,53,Female,Google Ads
51,2026-02-19,Noida,42,Male,Google Ads
52,2025-04-17,Hyderabad,45,Female,Organic
53,2025-07-18,Kolkata,38,Female,Email
54,2025-09-12,Jaipur,31,Female,Meta Ads
55,2025-09-29,Chennai,39,Female,Google Ads
56,2025-01-24,Noida,54,Male,Influencer
57,2025-10-25,Gurugram,20,Male,Google Ads
58,2025-03-26,Gurugram,27,Male,Meta Ads
59,2026-02-10,Noida,37,Female,Meta Ads
60,2026-01-08,Noida,32,Male,Google Ads
61,2026-05-18,Mumbai,42,Female,Email
62,2026-02-10,Hyderabad,32,Female,Meta Ads
63,2025-07-19,Mumbai,43,Female,Organic
64,2026-06-12,Bengaluru,23,Female,Meta Ads
65,2025-08-12,Gurugram,31,Female,Google Ads
66,2025-06-27,Noida,44,Female,Affiliate
67,2026-05-09,Jaipur,36,Male,Email
68,2025-07-21,Hyderabad,45,Male,Meta Ads
69,2025-02-11,Gurugram,42,Female,Google Ads
70,2025-09-13,Kolkata,31,Male,Email
71,2026-03-10,Kolkata,35,Female,Affiliate
72,2025-04-14,Jaipur,54,Male,Organic
73,2025-09-10,Noida,54,Female,Affiliate
74,2025-03-12,Pune,21,Male,Google Ads
75,2026-01-10,Jaipur,45,Female,Influencer
76,2025-09-17,Kolkata,37,Male,Google Ads
77,2025-06-29,Gurugram,20,Female,Meta Ads
78,2025-05-04,Kolkata,42,Male,Email
79,2025-11-04,Bengaluru,20,Female,Google Ads
80,2026-01-01,Bengaluru,31,Male,Meta Ads
81,2026-05-28,Hyderabad,44,Female,Google Ads
82,2025-08-27,Chennai,49,Female,Organic
83,2025-03-29,Noida,34,Female,Organic
84,2026-03-30,Hyderabad,49,Female,Organic
85,2025-12-10,Kolkata,50,Female,Meta Ads
86,2026-01-17,Hyderabad,36,Female,Meta Ads
87,2025-02-22,Gurugram,26,Male,Affiliate
88,2025-06-20,Delhi,43,Female,Email
89,2026-02-23,Hyderabad,20,Male,Meta Ads
90,2026-03-30,Chennai,52,Female,Google Ads
91,2025-08-26,Hyderabad,33,Male,Google Ads
92,2026-03-15,Jaipur,47,Male,Meta Ads
93,2026-04-04,Pune,46,Female,Organic
94,2025-07-31,Hyderabad,37,Male,Affiliate
95,2026-05-05,Delhi,54,Male,Influencer
96,2025-06-07,Hyderabad,48,Male,Meta Ads
97,2025-05-11,Noida,51,Female,Meta Ads
98,2026-01-07,Chennai,23,Male,Organic
99,2025-12-14,Noida,37,Male,Meta Ads
100,2025-03-18,Jaipur,54,Other,Email
101,2026-03-30,Mumbai,49,Female,Organic
102,2025-04-19,Bengaluru,36,Male,Google Ads
103,2026-03-15,Noida,22,Female,Meta Ads
104,2025-01-05,Gurugram,30,Male,Meta Ads
105,2026-03-11,Jaipur,40,Female,Email
106,2026-03-05,Gurugram,43,Male,Meta Ads
107,2026-03-02,Hyderabad,53,Male,Google Ads
108,2025-12-29,Jaipur,23,Male,Google Ads
109,2025-09-15,Pune,34,Female,Affiliate
110,2026-01-20,Delhi,29,Male,Affiliate
111,2025-06-01,Mumbai,54,Female,Influencer
112,2026-03-02,Mumbai,25,Female,Affiliate
113,2025-10-30,Gurugram,27,Female,Google Ads
114,2025-09-08,Gurugram,30,Female,Google Ads
115,2025-10-03,Hyderabad,23,Male,Meta Ads
116,2025-11-06,Mumbai,43,Male,Email
117,2025-01-21,Gurugram,38,Male,Organic
118,2025-03-18,Bengaluru,40,Female,Google Ads
119,2025-05-14,Mumbai,52,Male,Influencer
120,2025-03-04,Gurugram,35,Female,Meta Ads
121,2025-08-28,Bengaluru,31,Female,Email
122,2025-12-31,Jaipur,33,Female,Affiliate
123,2025-12-23,Hyderabad,48,Female,Email
124,2025-09-14,Hyderabad,39,Male,Organic
125,2026-04-12,Jaipur,26,Male,Organic
126,2025-11-05,Pune,44,Female,Affiliate
127,2025-02-13,Gurugram,46,Male,Affiliate
128,2026-02-21,Mumbai,28,Female,Meta Ads
129,2025-11-10,Bengaluru,40,Female,Meta Ads
130,2025-12-12,Bengaluru,40,Male,Affiliate
131,2025-11-05,Noida,26,Male,Email
132,2025-10-29,Noida,20,Male,Organic
133,2025-02-19,Mumbai,45,Male,Meta Ads
134,2025-11-01,Jaipur,42,Female,Google Ads
135,2026-03-10,Chennai,45,Female,Meta Ads
136,2025-06-15,Kolkata,33,Male,Influencer
137,2025-11-25,Noida,38,Female,Meta Ads
138,2025-01-17,Bengaluru,55,Male,Meta Ads
139,2025-07-09,Hyderabad,28,Other,Google Ads
140,2025-08-27,Bengaluru,43,Female,Meta Ads
141,2026-06-20,Bengaluru,24,Male,Meta Ads
142,2025-04-27,Mumbai,22,Female,Organic
143,2025-05-31,Delhi,54,Female,Google Ads
144,2025-08-11,Kolkata,24,Male,Google Ads
145,2026-06-26,Jaipur,43,Male,Google Ads
146,2026-04-11,Delhi,38,Female,Google Ads
147,2025-01-19,Bengaluru,49,Male,Affiliate
148,2025-05-08,Hyderabad,39,Male,Influencer
149,2026-03-24,Chennai,45,Male,Organic
150,2025-02-01,Jaipur,52,Female,Affiliate
151,2026-04-12,Bengaluru,49,Male,Google Ads
152,2025-06-03,Chennai,45,Female,Affiliate
153,2026-05-16,Jaipur,25,Male,Meta Ads
154,2025-06-10,Kolkata,26,Male,Organic
155,2025-08-25,Gurugram,37,Female,Organic
156,2025-12-27,Kolkata,43,Male,Meta Ads
157,2025-03-10,Bengaluru,44,Female,Meta Ads
158,2025-10-31,Delhi,48,Male,Google Ads
159,2025-10-03,Chennai,23,Female,Meta Ads
160,2026-03-04,Kolkata,26,Male,Meta Ads
161,2026-06-27,Mumbai,25,Female,Influencer
162,2025-12-29,Bengaluru,39,Male,Google Ads
163,2025-08-12,Mumbai,42,Female,Email
164,2025-08-10,Noida,24,Male,Email
165,2025-08-16,Jaipur,51,Male,Google Ads
166,2026-03-20,Delhi,30,Female,Meta Ads
167,2025-06-25,Hyderabad,43,Male,Meta Ads
168,2025-04-02,Delhi,47,Male,Meta Ads
169,2025-07-02,Pune,21,Female,Google Ads
170,2025-01-13,Jaipur,51,Female,Google Ads
171,2025-02-27,Pune,54,Female,Meta Ads
172,2025-02-19,Pune,54,Other,Affiliate
173,2026-02-25,Kolkata,25,Male,Affiliate
174,2026-01-29,Jaipur,34,Male,Google Ads
175,2026-01-15,Kolkata,28,Female,Organic
176,2025-09-09,Gurugram,36,Male,Influencer
177,2026-01-26,Hyderabad,55,Male,Google Ads
178,2025-03-29,Kolkata,47,Male,Google Ads
179,2026-05-06,Gurugram,47,Male,Google Ads
180,2025-10-01,Pune,35,Male,Google Ads
181,2026-05-27,Delhi,53,Male,Affiliate
182,2025-03-25,Kolkata,53,Female,Affiliate
183,2025-09-29,Pune,49,Female,Email
184,2026-01-15,Chennai,49,Female,Meta Ads
185,2025-09-28,Kolkata,43,Male,Affiliate
186,2025-09-01,Gurugram,23,Male,Google Ads
187,2025-04-01,Bengaluru,30,Female,Google Ads
188,2025-07-27,Kolkata,47,Male,Google Ads
