order_id,product_id,quantity,unit_price,discount_pct,revenue,cost,gross_profit
1,30,1,4848.59,0.1,4848.59,2729.81,2118.78
2,60,2,8716.12,0.1,17432.24,11136.42,6295.82
3,81,1,4268.28,0.05,4268.28,3100.56,1167.72
4,48,1,5293.46,0.2,5293.46,4136.95,1156.51
5,89,2,549.57,0.2,1099.14,773.98,325.16
6,70,2,1980.91,0.05,3961.82,3062.66,899.16
7,49,1,3768.55,0.2,3768.55,3300.0,468.55
8,89,2,719.38,0.0,1438.76,773.98,664.78
9,7,1,6241.65,0.15,6241.65,3624.91,2616.74
10,18,3,8195.34,0.05,24586.02,16195.65,8390.37
11,35,2,10769.47,0.0,21538.94,10547.94,10991.0
12,9,1,8891.79,0.15,8891.79,6755.6,2136.19
13,81,3,5395.46,0.15,16186.38,9301.68,6884.7
14,60,1,8793.59,0.0,8793.59,5568.21,3225.38
15,48,2,5449.52,0.2,10899.04,8273.9,2625.14
16,43,2,2381.39,0.15,4762.78,4134.84,627.94
17,72,1,5670.36,0.1,5670.36,3659.48,2010.88
18,74,1,8286.44,0.1,8286.44,4357.9,3928.54
19,38,3,8655.88,0.05,25967.64,17778.75,8188.89
20,56,1,9364.22,0.1,9364.22,5564.47,3799.75
21,4,2,9094.3,0.15,18188.6,10260.5,7928.1
22,78,3,4066.75,0.0,12200.25,6561.21,5639.04
23,68,2,3798.22,0.15,7596.44,5154.68,2441.76
24,28,1,2767.57,0.0,2767.57,1295.9,1471.67
25,30,2,2903.2,0.25,5806.4,5459.62,346.78
26,8,2,7054.62,0.05,14109.24,11640.98,2468.26
27,49,2,5214.17,0.1,10428.34,6600.0,3828.34
28,87,1,7037.3,0.05,7037.3,4936.17,2101.13
29,92,3,3659.42,0.15,10978.26,7100.43,3877.83
30,64,1,3816.92,0.15,3816.92,3533.46,283.46
31,23,1,6998.48,0.1,6998.48,5254.37,1744.11
32,17,1,5045.56,0.1,5045.56,2965.38,2080.18
33,35,1,9896.46,0.1,9896.46,5273.97,4622.49
34,20,1,6003.62,0.15,6003.62,4522.97,1480.65
35,16,1,1620.09,0.0,1620.09,1154.59,465.5
36,17,2,3871.64,0.25,7743.28,5930.76,1812.52
37,4,2,7222.68,0.05,14445.36,10260.5,4184.86
38,1,3,12689.45,0.0,38068.35,20082.09,17986.26
39,42,2,1165.99,0.2,2331.98,2206.66,125.32
40,90,2,8894.2,0.0,17788.4,12302.5,5485.9
41,10,3,7729.36,0.0,23188.08,13006.95,10181.13
42,82,1,3790.65,0.0,3790.65,2702.56,1088.09
43,30,1,3434.1,0.15,3434.1,2729.81,704.29
44,72,1,5779.44,0.15,5779.44,3659.48,2119.96
45,85,1,7793.8,0.05,7793.8,4883.02,2910.78
46,60,3,8146.87,0.05,24440.61,16704.63,7735.98
47,5,3,4109.7,0.0,12329.1,9366.21,2962.89
48,11,1,4761.91,0.1,4761.91,2790.43,1971.48
49,64,2,5797.36,0.15,11594.72,7066.92,4527.8
50,57,1,1234.92,0.0,1234.92,932.87,302.05
51,39,2,928.83,0.0,1857.66,1379.76,477.9
52,59,2,9873.47,0.05,19746.94,13021.24,6725.7
