order_id,customer_id,order_date,order_status,quantity,selling_price,discount_pct,revenue
1,7377,2026-01-25,Delivered,1,4848.59,0.1,4848.59
2,1314,2025-01-09,Delivered,2,8716.12,0.1,17432.24
3,5149,2026-01-10,Delivered,1,4268.28,0.05,4268.28
4,9719,2025-01-13,Delivered,1,5293.46,0.2,5293.46
5,7163,2025-05-11,Cancelled,2,549.57,0.2,1099.14
6,1165,2026-01-29,Cancelled,2,1980.91,0.05,3961.82
7,1981,2025-04-24,Delivered,1,3768.55,0.2,3768.55
8,772,2025-05-05,Cancelled,2,719.38,0.0,1438.76
9,6926,2026-02-13,Delivered,1,6241.65,0.15,6241.65
10,4374,2025-01-13,Returned,3,8195.34,0.05,24586.02
11,4278,2025-06-25,Delivered,2,10769.47,0.0,21538.94
12,9762,2025-10-20,Cancelled,1,8891.79,0.15,8891.79
13,9411,2025-02-07,Delivered,3,5395.46,0.15,16186.38
14,948,2025-12-22,Delivered,1,8793.59,0.0,8793.59
15,8556,2025-08-20,Delivered,2,5449.52,0.2,10899.04
16,9353,2025-06-19,Delivered,2,2381.39,0.15,4762.78
17,14,2025-11-07,Delivered,1,5670.36,0.1,5670.36
18,9139,2025-01-22,Delivered,1,8286.44,0.1,8286.44
19,7606,2025-11-24,Delivered,3,8655.88,0.05,25967.64
20,2826,2025-09-10,Returned,1,9364.22,0.1,9364.22
21,6025,2025-02-01,Delivered,2,9094.3,0.15,18188.6
22,420,2026-03-05,Delivered,3,4066.75,0.0,12200.25
23,7143,2025-09-05,Delivered,2,3798.22,0.15,7596.44
24,3446,2025-02-07,Delivered,1,2767.57,0.0,2767.57
25,2584,2025-07-15,Cancelled,2,2903.2,0.25,5806.4
26,7936,2026-02-11,Returned,2,7054.62,0.05,14109.24
27,7988,2025-09-02,Delivered,2,5214.17,0.1,10428.34
28,3551,2025-07-31,Delivered,1,7037.3,0.05,7037.3
29,1407,2025-01-23,Delivered,3,3659.42,0.15,10978.26
30,7403,2025-02-05,Returned,1,3816.92,0.15,3816.92
31,8989,2025-06-11,Cancelled,1,6998.48,0.1,6998.48
32,8762,2025-05-28,Delivered,1,5045.56,0.1,5045.56
33,4345,2025-12-17,Delivered,1,9896.46,0.1,9896.46
34,5189,2025-09-14,Returned,1,6003.62,0.15,6003.62
35,1064,2025-03-10,Cancelled,1,1620.09,0.0,1620.09
36,3270,2025-12-22,Delivered,2,3871.64,0.25,7743.28
37,7007,2026-06-07,Cancelled,2,7222.68,0.05,14445.36
38,7652,2026-04-13,Delivered,3,12689.45,0.0,38068.35
39,3868,2026-06-26,Delivered,2,1165.99,0.2,2331.98
40,9216,2025-09-19,Delivered,2,8894.2,0.0,17788.4
41,2546,2025-07-16,Returned,3,7729.36,0.0,23188.08
42,7016,2025-01-31,Delivered,1,3790.65,0.0,3790.65
43,6691,2026-01-07,Delivered,1,3434.1,0.15,3434.1
44,5948,2025-08-28,Cancelled,1,5779.44,0.15,5779.44
45,3335,2025-12-13,Delivered,1,7793.8,0.05,7793.8
46,7101,2025-06-14,Delivered,3,8146.87,0.05,24440.61
47,2170,2025-04-02,Returned,3,4109.7,0.0,12329.1
48,8293,2026-01-12,Delivered,1,4761.91,0.1,4761.91
49,6029,2025-07-31,Delivered,2,5797.36,0.15,11594.72
50,4106,2025-10-16,Returned,1,1234.92,0.0,1234.92
51,3504,2026-06-19,Delivered,2,928.83,0.0,1857.66
52,1255,2025-06-03,Delivered,2,9873.47,0.05,19746.94
53,529,2025-03-11,Returned,1,4675.09,0.25,4675.09
54,3136,2026-01-24,Delivered,2,14089.55,0.0,28179.1
55,2270,2025-11-10,Delivered,2,7591.05,0.1,15182.1
56,6873,2025-08-06,Delivered,1,7687.29,0.05,7687.29
57,4509,2025-11-23,Returned,1,10198.64,0.0,10198.64
58,1537,2026-05-19,Delivered,2,1186.93,0.0,2373.86
59,5745,2025-04-02,Delivered,1,13441.68,0.05,13441.68
60,6351,2026-03-08,Delivered,3,6112.75,0.15,18338.25
61,4866,2025-10-19,Cancelled,1,776.47,0.0,776.47
62,6532,2026-03-15,Delivered,1,8313.55,0.25,8313.55
63,9188,2026-05-16,Cancelled,2,5897.28,0.15,11794.56
64,5978,2025-03-29,Delivered,2,8129.61,0.2,16259.22
65,3417,2025-03-05,Cancelled,2,5388.1,0.25,10776.2
66,6266,2025-01-03,Delivered,2,10621.36,0.0,21242.72
67,8673,2025-04-14,Delivered,1,9220.76,0.1,9220.76
68,6413,2025-07-08,Delivered,1,2442.76,0.25,2442.76
69,4787,2025-05-20,Delivered,1,3405.45,0.1,3405.45
70,1157,2026-03-25,Delivered,2,5306.16,0.2,10612.32
71,6814,2026-02-14,Cancelled,1,1421.31,0.15,1421.31
72,7835,2025-07-11,Delivered,1,1572.44,0.15,1572.44
73,5402,2025-11-11,Delivered,1,4771.02,0.0,4771.02
74,6316,2025-06-20,Delivered,1,9645.44,0.15,9645.44
75,1089,2025-10-02,Cancelled,1,8860.58,0.0,8860.58
76,9670,2025-06-08,Returned,1,4640.47,0.0,4640.47
77,4225,2026-03-08,Returned,2,4463.0,0.25,8926.0
78,8829,2025-05-05,Delivered,1,10791.5,0.15,10791.5
