product_id,product_name,category,cost_price
1,Sports Product 001,Sports,6694.03
2,Beauty Product 002,Beauty,5444.95
3,Home Product 003,Home & Kitchen,4653.21
4,Beauty Product 004,Beauty,5130.25
5,Sports Product 005,Sports,3122.07
6,Accessories Product 006,Accessories,2263.73
7,Home Product 007,Home & Kitchen,3624.91
8,Home Product 008,Home & Kitchen,5820.49
9,Home Product 009,Home & Kitchen,6755.6
10,Accessories Product 010,Accessories,4335.65
11,Sports Product 011,Sports,2790.43
12,Electronics Product 012,Electronics,5097.89
13,Sports Product 013,Sports,4955.21
14,Electronics Product 014,Electronics,1920.38
15,Accessories Product 015,Accessories,3189.72
16,Fashion Product 016,Fashion,1154.59
17,Sports Product 017,Sports,2965.38
18,Sports Product 018,Sports,5398.55
19,Beauty Product 019,Beauty,2368.84
20,Accessories Product 020,Accessories,4522.97
21,Home Product 021,Home & Kitchen,2461.64
22,Beauty Product 022,Beauty,1242.95
23,Beauty Product 023,Beauty,5254.37
24,Fashion Product 024,Fashion,4227.86
25,Electronics Product 025,Electronics,5821.84
26,Accessories Product 026,Accessories,4832.94
27,Sports Product 027,Sports,5766.05
28,Sports Product 028,Sports,1295.9
29,Accessories Product 029,Accessories,4398.44
30,Home Product 030,Home & Kitchen,2729.81
31,Accessories Product 031,Accessories,5288.92
32,Accessories Product 032,Accessories,4165.58
33,Fashion Product 033,Fashion,615.72
34,Beauty Product 034,Beauty,3851.44
35,Electronics Product 035,Electronics,5273.97
36,Sports Product 036,Sports,2023.82
37,Electronics Product 037,Electronics,4668.05
38,Sports Product 038,Sports,5926.25
39,Sports Product 039,Sports,689.88
40,Beauty Product 040,Beauty,4151.65
41,Home Product 041,Home & Kitchen,6241.31
42,Accessories Product 042,Accessories,1103.33
43,Sports Product 043,Sports,2067.42
44,Beauty Product 044,Beauty,4474.99
45,Accessories Product 045,Accessories,4199.99
46,Electronics Product 046,Electronics,5605.42
47,Fashion Product 047,Fashion,4496.11
48,Fashion Product 048,Fashion,4136.95
49,Beauty Product 049,Beauty,3300.0
50,Sports Product 050,Sports,778.18
51,Sports Product 051,Sports,4239.85
52,Electronics Product 052,Electronics,1307.22
53,Fashion Product 053,Fashion,6971.98
54,Sports Product 054,Sports,779.88
55,Home Product 055,Home & Kitchen,761.09
56,Fashion Product 056,Fashion,5564.47
57,Beauty Product 057,Beauty,932.87
58,Home Product 058,Home & Kitchen,2984.26
59,Home Product 059,Home & Kitchen,6510.62
60,Sports Product 060,Sports,5568.21
61,Accessories Product 061,Accessories,1821.68
62,Sports Product 062,Sports,1944.45
63,Electronics Product 063,Electronics,4247.82
64,Beauty Product 064,Beauty,3533.46
65,Beauty Product 065,Beauty,1038.04
66,Home Product 066,Home & Kitchen,1320.87
67,Accessories Product 067,Accessories,5669.55
68,Beauty Product 068,Beauty,2577.34
69,Beauty Product 069,Beauty,5643.33
70,Accessories Product 070,Accessories,1531.33
71,Sports Product 071,Sports,4296.17
72,Beauty Product 072,Beauty,3659.48
73,Accessories Product 073,Accessories,2453.1
74,Fashion Product 074,Fashion,4357.9
75,Fashion Product 075,Fashion,1090.61
76,Electronics Product 076,Electronics,6031.16
77,Electronics Product 077,Electronics,5267.84
78,Accessories Product 078,Accessories,2187.07
79,Electronics Product 079,Electronics,4166.02
80,Sports Product 080,Sports,6339.64
81,Electronics Product 081,Electronics,3100.56
82,Fashion Product 082,Fashion,2702.56
83,Beauty Product 083,Beauty,5642.89
84,Fashion Product 084,Fashion,258.01
85,Electronics Product 085,Electronics,4883.02
86,Accessories Product 086,Accessories,1706.69
87,Beauty Product 087,Beauty,4936.17
88,Beauty Product 088,Beauty,3205.83
89,Sports Product 089,Sports,386.99
90,Accessories Product 090,Accessories,6151.25
91,Fashion Product 091,Fashion,3939.14
92,Beauty Product 092,Beauty,2366.81
93,Beauty Product 093,Beauty,4997.81
94,Fashion Product 094,Fashion,3597.6
95,Electronics Product 095,Electronics,485.9
96,Accessories Product 096,Accessories,4639.23
97,Sports Product 097,Sports,6794.34
98,Sports Product 098,Sports,1748.36
99,Fashion Product 099,Fashion,6074.75
100,Home Product 100,Home & Kitchen,4441.72
