session_id,customer_id,session_date,channel,device,page_views,add_to_cart,checkout,purchase,bounce_flag
1,6821,2026-03-29,Google Ads,Mobile,10,0,0,0,0
2,7516,2025-08-02,Email,Mobile,1,0,0,0,1
3,972,2025-06-09,Meta Ads,Mobile,12,0,0,0,0
4,,2025-07-23,Meta Ads,Desktop,6,0,0,0,0
5,8864,2025-12-10,Email,Mobile,10,0,0,0,0
6,6520,2025-10-19,Influencer,Mobile,2,1,1,1,1
7,6230,2025-04-02,Google Ads,Desktop,9,0,0,0,0
8,3798,2026-05-20,Organic,Mobile,13,0,0,0,0
9,2508,2025-02-02,Organic,Desktop,6,1,0,0,0
10,8612,2025-10-01,Influencer,Desktop,7,0,0,0,0
11,7576,2026-03-24,Affiliate,Mobile,5,0,0,0,0
12,1710,2025-04-09,Meta Ads,Tablet,5,0,0,0,0
13,7302,2026-04-24,Google Ads,Tablet,9,0,0,0,0
14,8859,2025-09-02,Influencer,Mobile,2,1,0,0,1
15,757,2025-04-25,Organic,Mobile,13,0,0,0,0
16,5946,2025-12-17,Influencer,Mobile,2,0,0,0,1
17,6618,2025-11-28,Organic,Mobile,6,1,0,0,0
18,10000,2026-01-23,Organic,Mobile,6,0,0,0,0
19,4007,2025-05-26,Email,Mobile,7,0,0,0,0
20,9664,2025-02-05,Organic,Desktop,1,0,0,0,1
21,5170,2026-04-19,Email,Desktop,6,1,1,0,0
22,,2025-08-09,Email,Desktop,10,0,0,0,0
23,2429,2025-07-29,Organic,Desktop,3,0,0,0,0
24,2342,2025-05-22,Affiliate,Mobile,10,1,1,1,0
25,4262,2025-10-02,Influencer,Mobile,3,0,0,0,0
26,1778,2026-05-02,Affiliate,Desktop,10,0,0,0,0
27,2126,2026-05-18,Influencer,Desktop,4,0,0,0,0
28,,2025-12-04,Email,Mobile,8,1,1,1,0
29,9795,2026-01-21,Email,Desktop,5,1,0,0,0
30,3121,2026-06-29,Affiliate,Mobile,3,0,0,0,0
31,5186,2026-04-23,Email,Desktop,3,0,0,0,0
32,9528,2026-04-10,Organic,Tablet,2,1,0,0,1
33,4892,2026-05-11,Organic,Desktop,10,1,0,0,0
34,4676,2025-07-30,Influencer,Tablet,9,0,0,0,0
35,9767,2025-08-06,Influencer,Mobile,10,0,0,0,0
36,955,2025-08-14,Meta Ads,Mobile,4,0,0,0,0
37,20,2025-07-17,Organic,Desktop,3,0,0,0,0
38,8273,2026-01-17,Organic,Mobile,9,0,0,0,0
39,9244,2026-01-28,Affiliate,Desktop,7,0,0,0,0
40,1016,2025-01-29,Organic,Mobile,13,1,0,0,0
41,5260,2025-09-18,Affiliate,Desktop,9,0,0,0,0
42,6828,2025-06-01,Email,Desktop,10,1,0,0,0
43,4320,2025-12-03,Affiliate,Desktop,2,0,0,0,1
44,8815,2025-07-23,Affiliate,Mobile,12,0,0,0,0
45,6759,2026-06-08,Influencer,Desktop,12,0,0,0,0
46,1298,2025-08-23,Affiliate,Mobile,9,0,0,0,0
47,6721,2025-10-02,Email,Mobile,13,0,0,0,0
48,1806,2026-04-14,Meta Ads,Mobile,11,0,0,0,0
49,,2026-06-16,Organic,Tablet,7,1,1,1,0
50,3953,2025-09-26,Organic,Mobile,11,1,0,0,0
51,2049,2026-06-25,Google Ads,Desktop,1,1,1,0,1
52,9860,2025-05-26,Organic,Mobile,9,0,0,0,0
53,,2026-06-26,Organic,Mobile,13,0,0,0,0
54,8016,2025-06-14,Google Ads,Mobile,3,1,0,0,0
55,4449,2025-04-11,Meta Ads,Tablet,13,0,0,0,0
56,3268,2026-06-08,Google Ads,Desktop,13,0,0,0,0
57,3415,2026-01-22,Meta Ads,Mobile,4,1,0,0,0
58,,2025-04-03,Influencer,Mobile,7,1,1,1,0
59,1719,2025-11-21,Influencer,Mobile,1,0,0,0,1
60,658,2025-11-16,Meta Ads,Tablet,8,1,1,0,0
61,9359,2026-02-18,Influencer,Desktop,4,0,0,0,0
62,,2025-08-03,Google Ads,Mobile,13,0,0,0,0
63,,2026-04-14,Email,Mobile,8,0,0,0,0
64,,2026-02-12,Google Ads,Desktop,10,0,0,0,0
65,4269,2025-04-24,Meta Ads,Desktop,7,1,0,0,0
66,,2026-03-25,Google Ads,Tablet,7,1,0,0,0
67,4384,2025-09-30,Email,Mobile,5,0,0,0,0
68,9682,2025-05-25,Influencer,Desktop,6,0,0,0,0
69,4730,2025-06-01,Email,Mobile,9,1,1,1,0
70,4413,2025-08-20,Influencer,Mobile,12,0,0,0,0
71,6513,2025-08-01,Google Ads,Mobile,10,1,0,0,0
72,3284,2025-01-12,Organic,Desktop,9,0,0,0,0
73,7469,2025-06-30,Organic,Tablet,10,0,0,0,0
74,9986,2025-01-17,Influencer,Mobile,5,1,1,1,0
75,,2025-01-05,Google Ads,Mobile,5,1,1,1,0
76,7417,2025-07-05,Affiliate,Mobile,9,0,0,0,0
77,3327,2025-02-23,Meta Ads,Desktop,13,1,0,0,0
78,,2025-12-24,Meta Ads,Desktop,12,0,0,0,0
79,1826,2025-03-27,Influencer,Mobile,13,0,0,0,0
80,8298,2026-01-02,Organic,Mobile,10,0,0,0,0
81,5195,2026-04-05,Affiliate,Mobile,6,0,0,0,0
82,8541,2025-03-08,Influencer,Mobile,5,0,0,0,0
83,4863,2026-05-15,Influencer,Mobile,6,1,0,0,0
84,,2025-01-15,Influencer,Mobile,11,0,0,0,0
85,5586,2025-09-25,Google Ads,Desktop,5,0,0,0,0
86,,2025-03-02,Affiliate,Desktop,7,0,0,0,0
87,3404,2025-02-25,Google Ads,Desktop,2,0,0,0,1
88,,2025-03-09,Email,Mobile,4,0,0,0,0
89,1806,2026-06-13,Google Ads,Mobile,3,0,0,0,0
90,2863,2025-10-30,Meta Ads,Desktop,7,1,1,1,0
91,8130,2025-04-10,Meta Ads,Desktop,12,0,0,0,0
92,4283,2026-01-01,Google Ads,Mobile,8,0,0,0,0
93,4120,2025-09-03,Affiliate,Mobile,2,1,1,0,1
94,4015,2025-02-18,Organic,Mobile,1,0,0,0,1
95,5428,2025-01-20,Influencer,Mobile,12,0,0,0,0
96,8704,2025-07-03,Organic,Mobile,10,1,1,0,0
97,5639,2025-08-10,Influencer,Desktop,6,0,0,0,0
98,114,2025-06-23,Organic,Desktop,3,1,0,0,0
99,7364,2025-10-12,Google Ads,Mobile,5,0,0,0,0
100,1787,2025-05-06,Organic,Mobile,13,0,0,0,0
101,,2026-05-04,Meta Ads,Mobile,11,0,0,0,0
102,6667,2025-07-28,Google Ads,Mobile,9,1,1,1,0
103,2899,2025-12-02,Influencer,Desktop,4,0,0,0,0
104,8320,2025-10-13,Meta Ads,Desktop,12,1,1,1,0
105,7753,2026-05-15,Affiliate,Mobile,5,1,0,0,0
106,6844,2026-03-27,Influencer,Mobile,7,0,0,0,0
107,4988,2025-08-05,Email,Mobile,1,0,0,0,1
108,2905,2026-01-09,Google Ads,Desktop,2,0,0,0,1
109,,2026-02-28,Organic,Desktop,11,0,0,0,0
110,3001,2025-09-16,Email,Mobile,9,1,1,0,0
111,1917,2025-08-31,Google Ads,Mobile,6,0,0,0,0
112,1632,2026-02-25,Affiliate,Mobile,3,0,0,0,0
113,,2026-06-27,Influencer,Mobile,11,0,0,0,0
114,1093,2025-04-25,Email,Desktop,12,0,0,0,0
115,5425,2025-01-08,Organic,Mobile,1,1,0,0,1
116,,2025-05-09,Organic,Desktop,11,1,0,0,0
117,5829,2025-05-07,Meta Ads,Desktop,9,0,0,0,0
118,7911,2025-06-04,Organic,Desktop,11,1,0,0,0
119,35,2025-02-13,Google Ads,Mobile,11,1,0,0,0
120,8667,2025-09-08,Email,Mobile,9,1,0,0,0
121,5306,2026-01-07,Email,Mobile,13,0,0,0,0
122,6961,2025-01-26,Meta Ads,Mobile,9,0,0,0,0
123,6875,2025-02-18,Affiliate,Desktop,6,0,0,0,0
124,4129,2025-11-04,Organic,Mobile,4,0,0,0,0
125,7734,2026-01-08,Email,Mobile,6,1,1,1,0
126,1906,2025-02-28,Email,Mobile,1,0,0,0,1
127,4109,2025-10-28,Email,Mobile,3,0,0,0,0
128,4976,2025-02-05,Affiliate,Desktop,1,0,0,0,1
129,9077,2025-01-27,Affiliate,Mobile,10,0,0,0,0
130,4375,2025-07-12,Google Ads,Mobile,4,0,0,0,0
131,7152,2025-05-07,Google Ads,Mobile,13,0,0,0,0
132,3241,2026-01-09,Affiliate,Mobile,5,1,0,0,0
133,1846,2025-02-25,Influencer,Desktop,12,0,0,0,0
134,2923,2025-08-30,Meta Ads,Mobile,10,0,0,0,0
135,,2025-04-07,Affiliate,Mobile,8,1,0,0,0
136,9760,2026-04-29,Affiliate,Mobile,3,1,1,1,0
137,5873,2025-05-07,Organic,Desktop,1,0,0,0,1
138,734,2026-05-07,Organic,Mobile,12,0,0,0,0
139,2465,2026-04-19,Email,Desktop,6,0,0,0,0
140,5343,2025-02-22,Email,Mobile,2,0,0,0,1
141,,2026-02-23,Meta Ads,Mobile,8,0,0,0,0
142,143,2026-04-18,Influencer,Mobile,3,0,0,0,0
143,,2025-07-03,Google Ads,Desktop,13,0,0,0,0
144,,2026-03-12,Influencer,Mobile,2,0,0,0,1
145,6756,2025-04-12,Influencer,Mobile,1,0,0,0,1
146,935,2025-04-27,Influencer,Desktop,4,0,0,0,0
147,5832,2025-09-08,Email,Tablet,13,0,0,0,0
148,3933,2025-06-24,Email,Mobile,9,1,0,0,0
149,7436,2026-02-28,Influencer,Mobile,7,0,0,0,0
150,9327,2025-03-26,Google Ads,Mobile,6,0,0,0,0
151,5872,2025-12-06,Organic,Mobile,7,0,0,0,0
152,702,2026-01-28,Influencer,Desktop,10,0,0,0,0
153,,2025-05-02,Email,Mobile,7,0,0,0,0
154,8369,2025-09-03,Meta Ads,Mobile,10,0,0,0,0
155,,2025-12-20,Affiliate,Mobile,2,1,1,0,1
156,7630,2025-02-15,Meta Ads,Desktop,3,1,1,0,0
157,4100,2025-08-20,Google Ads,Mobile,6,0,0,0,0
158,410,2025-01-22,Email,Mobile,9,0,0,0,0
159,2843,2025-01-27,Affiliate,Desktop,3,0,0,0,0
160,668,2026-03-17,Email,Mobile,13,0,0,0,0
161,898,2026-03-14,Influencer,Tablet,8,1,0,0,0
162,6488,2025-04-30,Email,Desktop,9,0,0,0,0
163,3408,2026-03-08,Google Ads,Mobile,9,1,1,0,0
164,2999,2025-02-25,Google Ads,Desktop,11,0,0,0,0
165,,2026-05-23,Affiliate,Mobile,12,0,0,0,0
166,2193,2025-10-07,Google Ads,Mobile,3,0,0,0,0
167,526,2025-02-15,Influencer,Mobile,3,0,0,0,0
168,372,2025-12-10,Organic,Mobile,7,1,1,1,0
169,2326,2026-06-01,Affiliate,Desktop,13,1,1,0,0
170,,2025-12-18,Meta Ads,Mobile,12,0,0,0,0
171,,2026-04-12,Meta Ads,Mobile,9,0,0,0,0
172,5741,2025-09-20,Meta Ads,Desktop,9,0,0,0,0
173,9330,2026-05-24,Influencer,Mobile,9,0,0,0,0
174,6086,2025-07-11,Meta Ads,Mobile,3,0,0,0,0
175,,2026-04-30,Email,Desktop,8,0,0,0,0
176,,2025-12-13,Influencer,Mobile,3,0,0,0,0
177,473,2025-04-15,Meta Ads,Mobile,13,0,0,0,0
178,9177,2026-04-17,Email,Mobile,3,1,0,0,0
179,3839,2025-10-19,Meta Ads,Mobile,5,1,0,0,0
180,6231,2025-07-09,Meta Ads,Mobile,11,0,0,0,0
181,6188,2025-10-17,Meta Ads,Mobile,2,0,0,0,1
182,8303,2026-01-03,Organic,Mobile,5,1,1,1,0
183,5619,2025-12-29,Influencer,Mobile,6,1,0,0,0
184,,2025-12-23,Google Ads,Desktop,8,0,0,0,0
185,,2026-02-25,Email,Mobile,5,0,0,0,0
186,1752,2025-03-12,Meta Ads,Mobile,7,0,0,0,0
187,3182,2026-06-13,Google Ads,Mobile,12,0,0,0,0
188,2283,2025-05-04,Email,Mobile,11,0,0,0,0
189,,2026-06-06,Affiliate,Desktop,6,0,0,0,0
190,2480,2026-02-05,Email,Tablet,3,1,1,0,0
191,1532,2026-01-10,Affiliate,Mobile,7,0,0,0,0
192,4227,2025-02-28,Affiliate,Mobile,13,0,0,0,0
193,,2026-03-14,Affiliate,Mobile,8,0,0,0,0
194,4200,2026-05-04,Email,Desktop,3,1,1,1,0
195,,2025-06-03,Email,Mobile,1,0,0,0,1
196,2919,2026-05-10,Influencer,Mobile,4,1,1,1,0
197,3893,2026-02-18,Email,Mobile,10,1,0,0,0
198,2197,2026-03-25,Affiliate,Desktop,6,1,0,0,0
199,9822,2025-06-05,Meta Ads,Mobile,11,1,1,1,0
200,,2026-01-20,Affiliate,Mobile,3,0,0,0,0
201,5489,2026-02-25,Organic,Mobile,11,1,0,0,0
202,9722,2026-05-16,Affiliate,Desktop,6,1,1,0,0
203,,2026-06-12,Google Ads,Mobile,5,1,0,0,0
204,,2026-06-03,Organic,Mobile,3,1,1,1,0
205,8815,2025-12-20,Email,Mobile,5,0,0,0,0
206,3656,2026-06-18,Influencer,Mobile,9,0,0,0,0
207,4198,2025-11-17,Affiliate,Desktop,10,0,0,0,0
208,3414,2025-03-09,Affiliate,Mobile,4,0,0,0,0
209,3810,2025-06-02,Email,Mobile,1,1,1,0,1
210,4489,2025-10-08,Affiliate,Mobile,7,0,0,0,0
211,5689,2025-01-24,Google Ads,Desktop,11,0,0,0,0
212,8085,2025-03-12,Affiliate,Desktop,11,0,0,0,0
213,,2026-02-17,Meta Ads,Mobile,6,1,1,1,0
214,,2025-11-26,Email,Desktop,6,1,1,1,0
215,6644,2025-09-30,Influencer,Desktop,13,0,0,0,0
216,4503,2025-06-06,Organic,Tablet,13,0,0,0,0
217,,2025-07-08,Organic,Mobile,4,0,0,0,0
218,3810,2025-12-22,Email,Mobile,8,0,0,0,0
219,,2025-07-30,Affiliate,Desktop,12,1,1,0,0
220,2376,2025-03-23,Affiliate,Mobile,1,0,0,0,1
221,6692,2025-09-09,Meta Ads,Desktop,5,0,0,0,0
222,739,2026-05-30,Meta Ads,Mobile,12,0,0,0,0
223,8712,2025-08-18,Google Ads,Tablet,2,1,1,1,1
224,4528,2025-02-16,Google Ads,Mobile,9,0,0,0,0
225,,2026-03-29,Affiliate,Desktop,12,0,0,0,0
226,4508,2025-03-19,Affiliate,Mobile,7,1,1,1,0
227,1947,2025-07-03,Organic,Mobile,4,0,0,0,0
228,9675,2025-02-05,Organic,Desktop,7,1,0,0,0
229,6622,2025-11-11,Email,Mobile,6,1,0,0,0
230,,2025-03-21,Influencer,Mobile,5,1,1,1,0
231,7324,2025-12-01,Google Ads,Desktop,11,1,0,0,0
